nome,principio_ativo,apresentacao,fonte,status,unidade,atualizado_em,sudoeste,noroeste,caf
"Heparina sódica 5.000UI solução injetavel , ampola com 0,25 ml",Heparina sódica,"5.000UI solução injetavel , ampola com 0,25 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Hidralazina, cloridrato de comprimido 25 mg","Hidralazina, cloridrato de",comprimido 25 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Hidroclorotiazida comprimido 25 mg,Hidroclorotiazida,comprimido 25 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Hidroxido de alumínio susp.oral 100ml,Hidroxido de alumínio susp.oral,100ml,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Hipromelose + Dextrana 70 3+1mg/ml colírio frasco com 15 ml,Hipromelose + Dextrana 70 3+,1mg/ml colírio frasco com 15 ml,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Ibuprofeno suspensão oral 50 mg/mL , frasco com 30 ml",Ibuprofeno,"suspensão oral 50 mg/mL , frasco com 30 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Ibuprofeno comprimido 600 mg,Ibuprofeno,comprimido 600 mg,SUS-Assis,em_falta,,2026-07-05,em_falta,em_falta,em_falta
Imipramina 25 mg comprimido,Imipramina,25 mg comprimido,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Insulina Humana NPH -100 UI frasco com 10 ml,Insulina Humana NPH -,100 UI frasco com 10 ml,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Insulina humana NPH suspensão injetável 100UI/mL caneta 3mL,Insulina humana NPH,suspensão injetável 100UI/mL caneta 3mL,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Insulina Humana Regular frasco com 10 ml,Insulina Humana Regular,frasco com 10 ml,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Insulina humana Regular suspensão injetável 100UI/mL caneta 3mL,Insulina humana Regular,suspensão injetável 100UI/mL caneta 3mL,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Isoflavona de soja, Glycine Max L. Merr., Cápsula 75mg","Isoflavona de soja, Glycine Max L. Merr.",Cápsula 75mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Isossorbida, mononitrato de, comprimido 20 mg","Isossorbida, mononitrato de",comprimido 20 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Isossorbida, mononitrato de, comprimido 40 mg","Isossorbida, mononitrato de",comprimido 40 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Itraconazol cápsula 100 mg,Itraconazol,cápsula 100 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Ivermectina comprimido 6 mg,Ivermectina,comprimido 6 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Lactulose 667mg/ml frasco com 120 ml,Lactulose,667mg/ml frasco com 120 ml,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Levodopa + Benserazida BD 100 mg + 25 mg comprimido,Levodopa + Benserazida BD,100 mg + 25 mg comprimido,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Levodopa + Benzerazida cápsula gel HBS 100 mg + 25 mg,Levodopa + Benzerazida,cápsula gel HBS 100 mg + 25 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Levodopa + Benzerazida comprimido 200 mg + 50 mg,Levodopa + Benzerazida,comprimido 200 mg + 50 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
